From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ORF)	EMBL
A0A0R1K4T4	A0A0R1K4T4	unreviewed	A0A0R1K4T4_9LACO	Conjugated bile salt hydrolase-like protein	FD30_GL001495	Levilactobacillus namurensis DSM 19117	329	FD30_GL001495	AZDT01000021;
A0A921EI08	A0A921EI08	unreviewed	A0A921EI08_9LACO	Choloylglycine hydrolase family protein	K8V96_10330	Levilactobacillus namurensis	325	K8V96_10330	DYXS01000045;
A0A921EI31	A0A921EI31	unreviewed	A0A921EI31_9LACO	Linear amide C-N hydrolase	K8V96_07435	Levilactobacillus namurensis	318	K8V96_07435	DYXS01000031;
A0A921EG22	A0A921EG22	unreviewed	A0A921EG22_9LACO	Choloylglycine hydrolase family protein	K8V96_01745	Levilactobacillus namurensis	329	K8V96_01745	DYXS01000008;
A0A0R1LFP3	A0A0R1LFP3	unreviewed	A0A0R1LFP3_9LACO	Penicillin V acylase related amidase	FC99_GL001623	Levilactobacillus koreensis JCM 16448	342	FC99_GL001623	AZDP01000026;
A0A0R1KTD0	A0A0R1KTD0	unreviewed	A0A0R1KTD0_9LACO	Conjugated bile salt hydrolase-like protein	FC99_GL001311	Levilactobacillus koreensis JCM 16448	330	FC99_GL001311	AZDP01000102;
A0A0R1LH18	A0A0R1LH18	unreviewed	A0A0R1LH18_9LACO	Choloylglycine hydrolase	FC99_GL001966	Levilactobacillus koreensis JCM 16448	299	FC99_GL001966	AZDP01000003;
A0A0R1UTM3	A0A0R1UTM3	unreviewed	A0A0R1UTM3_9LACO	Choloylglycine hydrolase	FD28_GL000502	Levilactobacillus hammesii DSM 16381	318	FD28_GL000502	AZFS01000059;
A0A0R1UPR9	A0A0R1UPR9	unreviewed	A0A0R1UPR9_9LACO	Conjugated bile salt hydrolase-like protein	FD28_GL001290	Levilactobacillus hammesii DSM 16381	330	FD28_GL001290	AZFS01000064;
A0A0R1UJP1	A0A0R1UJP1	unreviewed	A0A0R1UJP1_9LACO	Penicillin V acylase related amidase	FD28_GL001441	Levilactobacillus hammesii DSM 16381	325	FD28_GL001441	AZFS01000064;
A0A921JVZ8	A0A921JVZ8	unreviewed	A0A921JVZ8_9LACO	Choloylglycine hydrolase family protein	K8U88_03820	Levilactobacillus hammesii	327	K8U88_03820	DYXN01000060;
A0A921EZK3	A0A921EZK3	unreviewed	A0A921EZK3_9LACO	Linear amide C-N hydrolase	K8U88_05635	Levilactobacillus hammesii	325	K8U88_05635	DYXN01000084;
A0A0C1Q6G5	A0A0C1Q6G5	unreviewed	A0A0C1Q6G5_LEVBR	Choloylglycine hydrolase (EC 3.5.1.24)	LbDm2_1690	Levilactobacillus brevis (Lactobacillus brevis)	318	LbDm2_1690	JOKA01000032;
A0A1W6NJ40	A0A1W6NJ40	unreviewed	A0A1W6NJ40_LEVBR	Penicillin acylase	AZI11_11750	Levilactobacillus brevis (Lactobacillus brevis)	318	AZI11_11750	CP019734;
A0A1W6N7B3	A0A1W6N7B3	unreviewed	A0A1W6N7B3_LEVBR	Penicillin acylase	AZI09_01225	Levilactobacillus brevis (Lactobacillus brevis)	318	AZI09_01225	CP016797;
A0A856KH44	A0A856KH44	unreviewed	A0A856KH44_LEVBR	Penicillin acylase	UCCLB556_1844	Levilactobacillus brevis (Lactobacillus brevis)	327	UCCLB556_1844	CP031174;
A0A2A3U073	A0A2A3U073	unreviewed	A0A2A3U073_LEVBR	Penicillin acylase	CNR29_12275	Levilactobacillus brevis (Lactobacillus brevis)	318	CNR29_12275	NVYO01000001;
A0A856KJB0	A0A856KJB0	unreviewed	A0A856KJB0_LEVBR	Choloylglycine hydrolase	UCCLB556_1697	Levilactobacillus brevis (Lactobacillus brevis)	325	UCCLB556_1697	CP031174;
A0A2A3TX05	A0A2A3TX05	unreviewed	A0A2A3TX05_LEVBR	Linear amide C-N hydrolase	CNR29_04060	Levilactobacillus brevis (Lactobacillus brevis)	349	CNR29_04060	NVYO01000001;
A0A5B7Y1V9	A0A5B7Y1V9	unreviewed	A0A5B7Y1V9_LEVBR	Penicillin V acylase Cysteine peptidase MEROPS family C59	UCCLBBS449_1928	Levilactobacillus brevis (Lactobacillus brevis)	325	UCCLBBS449_1928	CP031198;
A0A2A3U0E5	A0A2A3U0E5	unreviewed	A0A2A3U0E5_LEVBR	Linear amide C-N hydrolase	CNR29_11250	Levilactobacillus brevis (Lactobacillus brevis)	327	CNR29_11250	NVYO01000001;
A0A0C1M217	A0A0C1M217	unreviewed	A0A0C1M217_LEVBR	Choloylglycine hydrolase (EC 3.5.1.24) (Linear amide C-N hydrolase)	AZI09_02905 AZI11_10015 CNR29_10475 LbDm2_1357	Levilactobacillus brevis (Lactobacillus brevis)	325	AZI09_02905 AZI11_10015 CNR29_10475 LbDm2_1357	CP016797;CP019734;JOKA01000032;NVYO01000001;
A0A378HDX6	A0A378HDX6	unreviewed	A0A378HDX6_LEVBR	Conjugated bile salt hydrolase-like protein	yxeI_2 NCTC13386_00433	Levilactobacillus brevis (Lactobacillus brevis)	327	NCTC13386_00433	UGNS01000001;
A0A7Z6MLR8	A0A7Z6MLR8	unreviewed	A0A7Z6MLR8_LEVBR	Linear amide C-N hydrolase	CNR30_11050	Levilactobacillus brevis (Lactobacillus brevis)	325	CNR30_11050	QQPA01000085;
A0A5B7Y1Z9	A0A5B7Y1Z9	unreviewed	A0A5B7Y1Z9_LEVBR	YxeI	UCCLBBS449_2092	Levilactobacillus brevis (Lactobacillus brevis)	327	UCCLBBS449_2092	CP031198;
A0A1W6N7L8	A0A1W6N7L8	unreviewed	A0A1W6N7L8_LEVBR	Penicillin acylase	AZI09_02165	Levilactobacillus brevis (Lactobacillus brevis)	327	AZI09_02165	CP016797;
A0A856KDH0	A0A856KDH0	unreviewed	A0A856KDH0_LEVBR	Choloylglycine hydrolase	UCCLB556_0689	Levilactobacillus brevis (Lactobacillus brevis)	349	UCCLB556_0689	CP031174;
A0A7Z6QLU3	A0A7Z6QLU3	unreviewed	A0A7Z6QLU3_LEVBR	Linear amide C-N hydrolase (Penicillin V acylase Cysteine peptidase MEROPS family C59)	CNR30_12690 UCCLB556_2059	Levilactobacillus brevis (Lactobacillus brevis)	318	CNR30_12690 UCCLB556_2059	CP031174;QQPA01000094;
A0A0C1PU18	A0A0C1PU18	unreviewed	A0A0C1PU18_LEVBR	Choloylglycine hydrolase (EC 3.5.1.24) (Penicillin acylase)	AZI11_10790 LbDm2_1513	Levilactobacillus brevis (Lactobacillus brevis)	327	AZI11_10790 LbDm2_1513	CP019734;JOKA01000032;
A0A5B7Y4X1	A0A5B7Y4X1	unreviewed	A0A5B7Y4X1_LEVBR	Penicillin V acylase Cysteine peptidase MEROPS family C59	UCCLBBS449_2271	Levilactobacillus brevis (Lactobacillus brevis)	318	UCCLBBS449_2271	CP031198;
A0A2Z3RBC4	A0A2Z3RBC4	unreviewed	A0A2Z3RBC4_LEVBR	Penicillin acylase	CCS05_11185	Levilactobacillus brevis (Lactobacillus brevis)	318	CCS05_11185	CP021456;
A0A5B7XYS0	A0A5B7XYS0	unreviewed	A0A5B7XYS0_LEVBR	Choloylglycine hydrolase	UCCLBBS449_0790	Levilactobacillus brevis (Lactobacillus brevis)	349	UCCLBBS449_0790	CP031198;
A0A378HCN8	A0A378HCN8	unreviewed	A0A378HCN8_LEVBR	Choloylglycine hydrolase	yxeI_1 NCTC13386_00258	Levilactobacillus brevis (Lactobacillus brevis)	318	NCTC13386_00258	UGNS01000001;
A0A7Z6QLX1	A0A7Z6QLX1	unreviewed	A0A7Z6QLX1_LEVBR	Linear amide C-N hydrolase	CNR30_11800	Levilactobacillus brevis (Lactobacillus brevis)	327	CNR30_11800	QQPA01000091;
A0A2Z3R9V4	A0A2Z3R9V4	unreviewed	A0A2Z3R9V4_LEVBR	Choloylglycine hydrolase	CCS05_09535	Levilactobacillus brevis (Lactobacillus brevis)	325	CCS05_09535	CP021456;
A0A2Z3RD50	A0A2Z3RD50	unreviewed	A0A2Z3RD50_LEVBR	Penicillin acylase	CCS05_10255	Levilactobacillus brevis (Lactobacillus brevis)	327	CCS05_10255	CP021456;
A0A378HDU3	A0A378HDU3	unreviewed	A0A378HDU3_LEVBR	Uncharacterized protein YxeI	yxeI_3 NCTC13386_00594	Levilactobacillus brevis (Lactobacillus brevis)	325	NCTC13386_00594	UGNS01000001;
A0A1W6NL00	A0A1W6NL00	unreviewed	A0A1W6NL00_LEVBR	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	AZI11_13860	Levilactobacillus brevis (Lactobacillus brevis)	349	AZI11_13860	CP019737;
A0A1W6NFJ9	A0A1W6NFJ9	unreviewed	A0A1W6NFJ9_LEVBR	Penicillin amidase	AZI11_03975	Levilactobacillus brevis (Lactobacillus brevis)	350	AZI11_03975	CP019734;
M5AFH3	M5AFH3	unreviewed	M5AFH3_LEVBR	Uncharacterized protein YxeI	LVISKB_1943	Levilactobacillus brevis KB290	327	LVISKB_1943	AP012167;
M5AZ08	M5AZ08	unreviewed	M5AZ08_LEVBR	Choloylglycine hydrolase	LVISKB_0731	Levilactobacillus brevis KB290	349	LVISKB_0731	AP012167;
M5AG61	M5AG61	unreviewed	M5AG61_LEVBR	Uncharacterized protein YxeI	LVISKB_2189	Levilactobacillus brevis KB290	318	LVISKB_2189	AP012167;
M5AG79	M5AG79	unreviewed	M5AG79_LEVBR	Uncharacterized protein YxeI	LVISKB_1785	Levilactobacillus brevis KB290	328	LVISKB_1785	AP012167;
U2PAE9	U2PAE9	unreviewed	U2PAE9_LEVBR	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	HMPREF0495_02484	Levilactobacillus brevis ATCC 14869 = DSM 20054	328	HMPREF0495_02484	AWVK01000118;
U2QHX2	U2QHX2	unreviewed	U2QHX2_LEVBR	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	HMPREF0495_02582	Levilactobacillus brevis ATCC 14869 = DSM 20054	308	HMPREF0495_02582	AWVK01000124;
U2PLY1	U2PLY1	unreviewed	U2PLY1_LEVBR	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	HMPREF0495_00442	Levilactobacillus brevis ATCC 14869 = DSM 20054	349	HMPREF0495_00442	AWVK01000017;
Q03PK6	Q03PK6	unreviewed	Q03PK6_LEVBA	Penicillin V acylase. Cysteine peptidase. MEROPS family C59 (EC 3.5.1.11)	LVIS_1801	Levilactobacillus brevis (strain ATCC 367 / BCRC 12310 / CIP 105137 / JCM 1170 / LMG 11437 / NCIMB 947 / NCTC 947) (Lactobacillus brevis)	325		CP000416;
Q03P51	Q03P51	unreviewed	Q03P51_LEVBA	Penicillin V acylase. Cysteine peptidase. MEROPS family C59 (EC 3.5.1.11)	LVIS_1962	Levilactobacillus brevis (strain ATCC 367 / BCRC 12310 / CIP 105137 / JCM 1170 / LMG 11437 / NCIMB 947 / NCTC 947) (Lactobacillus brevis)	327		CP000416;
Q03NN7	Q03NN7	unreviewed	Q03NN7_LEVBA	Penicillin V acylase. Cysteine peptidase. MEROPS family C59 (EC 3.5.1.11)	LVIS_2132	Levilactobacillus brevis (strain ATCC 367 / BCRC 12310 / CIP 105137 / JCM 1170 / LMG 11437 / NCIMB 947 / NCTC 947) (Lactobacillus brevis)	318		CP000416;
A0A2V1MZX7	A0A2V1MZX7	unreviewed	A0A2V1MZX7_9LACO	Choloylglycine hydrolase	DCM90_07485	Levilactobacillus bambusae	325	DCM90_07485	QCXQ01000005;
A0A0R1LEG4	A0A0R1LEG4	unreviewed	A0A0R1LEG4_9LACO	Conjugated bile salt hydrolase-like protein	FD25_GL001423	Levilactobacillus acidifarinae DSM 19394	327	FD25_GL001423	AZDV01000028;
A0A0R1LPV0	A0A0R1LPV0	unreviewed	A0A0R1LPV0_9LACO	Choloylglycine hydrolase	FD25_GL000066	Levilactobacillus acidifarinae DSM 19394	318	FD25_GL000066	AZDV01000006;
A0A0R1LLQ6	A0A0R1LLQ6	unreviewed	A0A0R1LLQ6_9LACO	Penicillin V acylase related amidase	FD25_GL001285	Levilactobacillus acidifarinae DSM 19394	325	FD25_GL001285	AZDV01000028;
A0A0R1LJR8	A0A0R1LJR8	unreviewed	A0A0R1LJR8_9LACO	Choloylglycine hydrolase	FD25_GL002508	Levilactobacillus acidifarinae DSM 19394	345	FD25_GL002508	AZDV01000005;
A0A0R1LEE3	A0A0R1LEE3	unreviewed	A0A0R1LEE3_9LACO	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	FD25_GL000992	Levilactobacillus acidifarinae DSM 19394	297	FD25_GL000992	AZDV01000027;
A0A6G7XDN1	A0A6G7XDN1	unreviewed	A0A6G7XDN1_9MICO	Linear amide C-N hydrolase	G7068_05505	Leucobacter viscericola	361	G7068_05505	CP049863;
A0A6G7XJ70	A0A6G7XJ70	unreviewed	A0A6G7XJ70_9MICO	Linear amide C-N hydrolase	G7068_15625	Leucobacter viscericola	342	G7068_15625	CP049863;
A0A4P6KFY7	A0A4P6KFY7	unreviewed	A0A4P6KFY7_9MICO	Linear amide C-N hydrolase	EVS81_08550	Leucobacter triazinivorans	318	EVS81_08550	CP035806;
A0A916JTG3	A0A916JTG3	unreviewed	A0A916JTG3_9MICO	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	LEUCIP111803_00495	Leucobacter soli	305	LEUCIP111803_00495	CAJVAP010000004;
A0A2S9QS61	A0A2S9QS61	unreviewed	A0A2S9QS61_9MICO	Choloylglycine hydrolase	B4915_01760	Leucobacter massiliensis	325	B4915_01760	MWZD01000012;
A0A4R6S6A5	A0A4R6S6A5	unreviewed	A0A4R6S6A5_9MICO	Choloylglycine hydrolase	EDF62_0007	Leucobacter luti	359	EDF62_0007	SNYA01000001;
A0A4Q7TX43	A0A4Q7TX43	unreviewed	A0A4Q7TX43_9MICO	Choloylglycine hydrolase	EV139_2133	Leucobacter luti	361	EV139_2133	SHKI01000005;
A0A542Y4F2	A0A542Y4F2	unreviewed	A0A542Y4F2_9MICO	Choloylglycine hydrolase	FB468_0963	Leucobacter komagatae	320	FB468_0963	VFON01000001;
A0A940PTI1	A0A940PTI1	unreviewed	A0A940PTI1_9MICO	Choloylglycine hydrolase (EC 3.5.1.24)	JOF28_000201	Leucobacter exalbidus	341	JOF28_000201	JAFIDA010000001;
A0A852QXP3	A0A852QXP3	unreviewed	A0A852QXP3_9MICO	Choloylglycine hydrolase (EC 3.5.1.24)	BJ960_001956	Leucobacter aridicollis	318	BJ960_001956	JACCBD010000001;
A0A0S7C186	A0A0S7C186	unreviewed	A0A0S7C186_9BACT	Penicillin V acylase	TBC1_11851	Lentimicrobium saccharophilum	353	TBC1_11851	DF968182;
A0A0R1L1Z4	A0A0R1L1Z4	unreviewed	A0A0R1L1Z4_9LACO	Choloylglycine hydrolase	FD17_GL001165	Lentilactobacillus sunkii DSM 19904	302	FD17_GL001165	AZEA01000002;
A0A0R1L3E0	A0A0R1L3E0	unreviewed	A0A0R1L3E0_9LACO	Penicillin amidase	FD17_GL001295	Lentilactobacillus sunkii DSM 19904	306	FD17_GL001295	AZEA01000021;
A0A0R1L161	A0A0R1L161	unreviewed	A0A0R1L161_9LACO	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	FD17_GL001101	Lentilactobacillus sunkii DSM 19904	328	FD17_GL001101	AZEA01000002;
A0A1E7XIP2	A0A1E7XIP2	unreviewed	A0A1E7XIP2_9LACO	Penicillin acylase (EC 3.5.1.11)	LASUN_02960	Lentilactobacillus sunkii	326	LASUN_02960	MIQE01000003;
A0A1E7XBQ8	A0A1E7XBQ8	unreviewed	A0A1E7XBQ8_9LACO	Penicillin acylase (EC 3.5.1.11)	LASUN_17840	Lentilactobacillus sunkii	311	LASUN_17840	MIQE01000019;
A0A1E7XE57	A0A1E7XE57	unreviewed	A0A1E7XE57_9LACO	Penicillin acylase (EC 3.5.1.11)	LASUN_10140	Lentilactobacillus sunkii	328	LASUN_10140	MIQE01000010;
A0A0R2CUB3	A0A0R2CUB3	unreviewed	A0A0R2CUB3_9LACO	Choloylglycine hydrolase	FC56_GL000901	Lentilactobacillus senioris DSM 24302 = JCM 17472	317	FC56_GL000901	AYZR01000009;
A0A0R2CS06	A0A0R2CS06	unreviewed	A0A0R2CS06_9LACO	Choloylglycine hydrolase	FC56_GL001445	Lentilactobacillus senioris DSM 24302 = JCM 17472	306	FC56_GL001445	AYZR01000004;
A0A512PL43	A0A512PL43	unreviewed	A0A512PL43_9LACO	Choloylglycine hydrolase	LRA02_07680	Lentilactobacillus rapi	325	LRA02_07680	BKAM01000005;
A0A512PQD9	A0A512PQD9	unreviewed	A0A512PQD9_9LACO	Penicillin V acylase	pva3 LRA02_22750	Lentilactobacillus rapi	312	LRA02_22750	BKAM01000074;
A0A512PLJ6	A0A512PLJ6	unreviewed	A0A512PLJ6_9LACO	Penicillin V acylase	pva2 LRA02_09300	Lentilactobacillus rapi	326	LRA02_09300	BKAM01000008;
A0A512PMH7	A0A512PMH7	unreviewed	A0A512PMH7_9LACO	Penicillin amidase	pac LRA02_12750	Lentilactobacillus rapi	351	LRA02_12750	BKAM01000017;
A0A269YLE8	A0A269YLE8	unreviewed	A0A269YLE8_9LACO	Choloylglycine hydrolase	B8W98_03235	Lentilactobacillus parakefiri	301	B8W98_03235	NCXI01000014;
A0A269Y025	A0A269Y025	unreviewed	A0A269Y025_9LACO	Choloylglycine hydrolase	B8W98_09760	Lentilactobacillus parakefiri	311	B8W98_09760	NCXI01000086;
A0A224VHP0	A0A224VHP0	unreviewed	A0A224VHP0_9LACO	Choloylglycine hydrolase	LPKJCM_00857	Lentilactobacillus parakefiri	306	LPKJCM_00857	BDGB01000044;
A0A269YHZ9	A0A269YHZ9	unreviewed	A0A269YHZ9_9LACO	Penicillin acylase	B8W98_04195	Lentilactobacillus parakefiri	329	B8W98_04195	NCXI01000020;
A0A224V8U7	A0A224V8U7	unreviewed	A0A224V8U7_9LACO	Choloylglycine hydrolase	LPKJCM_00277	Lentilactobacillus parakefiri	311	LPKJCM_00277	BDGB01000024;
A0A224VGH5	A0A224VGH5	unreviewed	A0A224VGH5_9LACO	Penicillin acylase	LPKJCM_00515	Lentilactobacillus parakefiri	327	LPKJCM_00515	BDGB01000031;
G9ZNN2	G9ZNN2	unreviewed	G9ZNN2_9LACO	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	HMPREF9103_01335	Lentilactobacillus parafarraginis F0439	293	HMPREF9103_01335	AGEY01000062;
A0A5R9CP48	A0A5R9CP48	unreviewed	A0A5R9CP48_9LACO	Linear amide C-N hydrolase	FEZ41_11930	Lentilactobacillus parafarraginis	312	FEZ41_11930	VBSX01000036;
A0A5R9CX80	A0A5R9CX80	unreviewed	A0A5R9CX80_9LACO	Linear amide C-N hydrolase	FEZ41_03125	Lentilactobacillus parafarraginis	326	FEZ41_03125	VBSX01000005;
A0A0R1Z227	A0A0R1Z227	unreviewed	A0A0R1Z227_9LACO	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	FD47_GL002423	Lentilactobacillus parafarraginis DSM 18390 = JCM 14109	330	FD47_GL002423	AZFZ01000006;
G9ZNH7	G9ZNH7	unreviewed	G9ZNH7_9LACO	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	HMPREF9103_01280	Lentilactobacillus parafarraginis F0439	308	HMPREF9103_01280	AGEY01000057;
A0A0R1YPH8	A0A0R1YPH8	unreviewed	A0A0R1YPH8_9LACO	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	FD47_GL001046	Lentilactobacillus parafarraginis DSM 18390 = JCM 14109	326	FD47_GL001046	AZFZ01000022;
G9ZLM6	G9ZLM6	unreviewed	G9ZLM6_9LACO	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	HMPREF9103_00624	Lentilactobacillus parafarraginis F0439	306	HMPREF9103_00624	AGEY01000028;
A0A0R1YRF7	A0A0R1YRF7	unreviewed	A0A0R1YRF7_9LACO	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	FD47_GL002179	Lentilactobacillus parafarraginis DSM 18390 = JCM 14109	312	FD47_GL002179	AZFZ01000050;
A0A5R9CRF6	A0A5R9CRF6	unreviewed	A0A5R9CRF6_9LACO	Choloylglycine hydrolase family protein	FEZ41_10560	Lentilactobacillus parafarraginis	327	FEZ41_10560	VBSX01000028;
A0A1X1FF38	A0A1X1FF38	unreviewed	A0A1X1FF38_9LACO	Penicillin acylase (EC 3.5.1.11)	FAM23169_01402	Lentilactobacillus parabuchneri	311	FAM23169_01402	MSBD01000035;
A0A844ELJ0	A0A844ELJ0	unreviewed	A0A844ELJ0_9LACO	Linear amide C-N hydrolase	GKC44_07195	Lentilactobacillus parabuchneri	184	GKC44_07195	WKKY01000241;
A0A1X1FGX5	A0A1X1FGX5	unreviewed	A0A1X1FGX5_9LACO	Penicillin acylase (EC 3.5.1.11)	FAM23169_00425	Lentilactobacillus parabuchneri	326	FAM23169_00425	MSBD01000010;
A0A0R1YTN5	A0A0R1YTN5	unreviewed	A0A0R1YTN5_9LACO	Choloylglycine hydrolase	FC51_GL000838	Lentilactobacillus parabuchneri DSM 5707 = NBRC 107865	330	FC51_GL000838	AZGK01000016;
A0A1X1FG71	A0A1X1FG71	unreviewed	A0A1X1FG71_9LACO	Linear amide C-N hydrolase (Penicillin acylase (EC 3.5.1.11))	FAM23169_00719 GKC44_01555	Lentilactobacillus parabuchneri	327	FAM23169_00719 GKC44_01555	WKKY01000010;MSBD01000015;
A0A1X1FB24	A0A1X1FB24	unreviewed	A0A1X1FB24_9LACO	Choloylglycine hydrolase (EC 3.5.1.24)	FAM23169_02646	Lentilactobacillus parabuchneri	351	FAM23169_02646	MSBD01000065;
A0A0R1Z2A3	A0A0R1Z2A3	unreviewed	A0A0R1Z2A3_9LACO	Choloylglycine hydrolase	FC51_GL000622	Lentilactobacillus parabuchneri DSM 5707 = NBRC 107865	311	FC51_GL000622	AZGK01000011;
A0A0R1YX04	A0A0R1YX04	unreviewed	A0A0R1YX04_9LACO	Penicillin amidase	FC51_GL001676	Lentilactobacillus parabuchneri DSM 5707 = NBRC 107865	316	FC51_GL001676	AZGK01000004;
S4NKA1	S4NKA1	unreviewed	S4NKA1_9LACO	Penicillin amidase	LOT_0884	Lentilactobacillus otakiensis DSM 19908 = JCM 15040	301	LOT_0884	BASH01000002;
S4ND32	S4ND32	unreviewed	S4ND32_9LACO	Choloylglycine hydrolase	LOT_1302	Lentilactobacillus otakiensis DSM 19908 = JCM 15040	311	LOT_1302	BASH01000004;
S4NFF7	S4NFF7	unreviewed	S4NFF7_9LACO	Choloylglycine hydrolase	LOT_2297	Lentilactobacillus otakiensis DSM 19908 = JCM 15040	307	LOT_2297	BASH01000014;
H1LBY9	H1LBY9	unreviewed	H1LBY9_9LACO	Putative penicillin amidase	HMPREF9104_00100	Lentilactobacillus kisonensis F0435	308	HMPREF9104_00100	AGRJ01000008;
A0A0R1NZ86	A0A0R1NZ86	unreviewed	A0A0R1NZ86_9LACO	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	FC98_GL001024	Lentilactobacillus kisonensis DSM 19906 = JCM 15041	293	FC98_GL001024	AZEB01000002;
H1LJV8	H1LJV8	unreviewed	H1LJV8_9LACO	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	HMPREF9104_02900	Lentilactobacillus kisonensis F0435	293	HMPREF9104_02900	AGRJ01000244;
H1LKM6	H1LKM6	unreviewed	H1LKM6_9LACO	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	HMPREF9104_03180	Lentilactobacillus kisonensis F0435	207	HMPREF9104_03180	AGRJ01000272;
A0A0R1NQ49	A0A0R1NQ49	unreviewed	A0A0R1NQ49_9LACO	Choloylglycine hydrolase	FC98_GL002407	Lentilactobacillus kisonensis DSM 19906 = JCM 15041	331	FC98_GL002407	AZEB01000006;
A0A0R1NSE0	A0A0R1NSE0	unreviewed	A0A0R1NSE0_9LACO	Penicillin amidase	FC98_GL001059	Lentilactobacillus kisonensis DSM 19906 = JCM 15041	327	FC98_GL001059	AZEB01000002;
H1LKM7	H1LKM7	unreviewed	H1LKM7_9LACO	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	HMPREF9104_03181	Lentilactobacillus kisonensis F0435	129	HMPREF9104_03181	AGRJ01000272;
A0A511DV09	A0A511DV09	unreviewed	A0A511DV09_LENKE	Choloylglycine hydrolase	LKE01_14890	Lentilactobacillus kefiri (Lactobacillus kefiri)	326	LKE01_14890	BJVK01000018;
A0A511DRN5	A0A511DRN5	unreviewed	A0A511DRN5_LENKE	Penicillin V acylase	pva3 LKE01_03300	Lentilactobacillus kefiri (Lactobacillus kefiri)	311	LKE01_03300	BJVK01000002;
A0A511E1N5	A0A511E1N5	unreviewed	A0A511E1N5_LENKE	Penicillin V acylase	pva2 LKE01_21580	Lentilactobacillus kefiri (Lactobacillus kefiri)	327	LKE01_21580	BJVK01000048;
A0A8E1RK82	A0A8E1RK82	unreviewed	A0A8E1RK82_LENKE	Penicillin amidase	FC95_GL001005	Lentilactobacillus kefiri DSM 20587 = JCM 5818	326	FC95_GL001005	AYYV01000025;
A0A8E1RIU3	A0A8E1RIU3	unreviewed	A0A8E1RIU3_LENKE	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	FC95_GL001938	Lentilactobacillus kefiri DSM 20587 = JCM 5818	308	FC95_GL001938	AYYV01000067;
A0A8E1RLK0	A0A8E1RLK0	unreviewed	A0A8E1RLK0_LENKE	Choloylglycine hydrolase	FC95_GL001680	Lentilactobacillus kefiri DSM 20587 = JCM 5818	311	FC95_GL001680	AYYV01000004;
A0A6G9Q7R6	A0A6G9Q7R6	unreviewed	A0A6G9Q7R6_LENHI	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	yxeI_3 G8J22_02490	Lentilactobacillus hilgardii (Lactobacillus hilgardii)	327	G8J22_02490	CP050262;
A0A6G9Q2B0	A0A6G9Q2B0	unreviewed	A0A6G9Q2B0_LENHI	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	yxeI_1 G8J22_00486	Lentilactobacillus hilgardii (Lactobacillus hilgardii)	327	G8J22_00486	CP050262;
A0A6P1E515	A0A6P1E515	unreviewed	A0A6P1E515_LENHI	Linear amide C-N hydrolase	GQR93_02595	Lentilactobacillus hilgardii (Lactobacillus hilgardii)	327	GQR93_02595	CP047121;
A0A6P1EB23	A0A6P1EB23	unreviewed	A0A6P1EB23_LENHI	Linear amide C-N hydrolase	GQR93_12730	Lentilactobacillus hilgardii (Lactobacillus hilgardii)	327	GQR93_12730	CP047121;
A0A6P1E9R7	A0A6P1E9R7	unreviewed	A0A6P1E9R7_LENHI	Linear amide C-N hydrolase	GQR93_12065	Lentilactobacillus hilgardii (Lactobacillus hilgardii)	312	GQR93_12065	CP047121;
A0A6G9Q6X8	A0A6G9Q6X8	unreviewed	A0A6G9Q6X8_LENHI	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	yxeI_2 G8J22_02252	Lentilactobacillus hilgardii (Lactobacillus hilgardii)	312	G8J22_02252	CP050262;
C0XH56	C0XH56	unreviewed	C0XH56_LENH9	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein (EC 3.5.1.-)"	HMPREF0519_0567	Lentilactobacillus hilgardii (strain ATCC 8290 / DSM 20176 / CCUG 30140 / JCM 1155 / KCTC 3500 / NBRC 15886 / NCIMB 8040 / NRRL B-1843 / 9)	312	HMPREF0519_0567	ACGP01000096;
